"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033157","BP","GO:0033157","regulation of intracellular protein transport","3/127","248/18862",0.233942300024837,0.469515671862596,0.436342369201284,"EMD/AKT2/CEP290",3
"GO:0003158","BP","GO:0003158","endothelium development","2/127","137/18862",0.235524170654699,0.469600725880155,0.436421413786494,"AFDN/ROCK1",2
"GO:0030010","BP","GO:0030010","establishment of cell polarity","2/127","137/18862",0.235524170654699,0.469600725880155,0.436421413786494,"FSCN1/ROCK1",2
"GO:0070507","BP","GO:0070507","regulation of microtubule cytoskeleton organization","2/127","137/18862",0.235524170654699,0.469600725880155,0.436421413786494,"WNT3A/ROCK1",2
"GO:0000154","BP","GO:0000154","rRNA modification","1/127","40/18862",0.237014361399562,0.469600725880155,0.436421413786494,"RPUSD2",1
"GO:0009262","BP","GO:0009262","deoxyribonucleotide metabolic process","1/127","40/18862",0.237014361399562,0.469600725880155,0.436421413786494,"SMUG1",1
"GO:0019068","BP","GO:0019068","virion assembly","1/127","40/18862",0.237014361399562,0.469600725880155,0.436421413786494,"PDCD6IP",1
"GO:0030488","BP","GO:0030488","tRNA methylation","1/127","40/18862",0.237014361399562,0.469600725880155,0.436421413786494,"TRMT13",1
"GO:0030890","BP","GO:0030890","positive regulation of B cell proliferation","1/127","40/18862",0.237014361399562,0.469600725880155,0.436421413786494,"WNT3A",1
"GO:0032467","BP","GO:0032467","positive regulation of cytokinesis","1/127","40/18862",0.237014361399562,0.469600725880155,0.436421413786494,"CSPP1",1
"GO:0045197","BP","GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity","1/127","40/18862",0.237014361399562,0.469600725880155,0.436421413786494,"PDCD6IP",1
"GO:0072529","BP","GO:0072529","pyrimidine-containing compound catabolic process","1/127","40/18862",0.237014361399562,0.469600725880155,0.436421413786494,"SMUG1",1
"GO:0150077","BP","GO:0150077","regulation of neuroinflammatory response","1/127","40/18862",0.237014361399562,0.469600725880155,0.436421413786494,"ATM",1
"GO:1904037","BP","GO:1904037","positive regulation of epithelial cell apoptotic process","1/127","40/18862",0.237014361399562,0.469600725880155,0.436421413786494,"TIA1",1
"GO:0051321","BP","GO:0051321","meiotic cell cycle","3/127","250/18862",0.237510294691579,0.470121064640011,0.436904988373817,"SPIRE2/ATM/ATRX",3
"GO:0051961","BP","GO:0051961","negative regulation of nervous system development","2/127","138/18862",0.238010498495197,0.470187406341003,0.436966642748149,"WNT3A/PAX6",2
"GO:0072006","BP","GO:0072006","nephron development","2/127","138/18862",0.238010498495197,0.470187406341003,0.436966642748149,"ASXL1/FAT4",2
"GO:0090066","BP","GO:0090066","regulation of anatomical structure size","5/127","493/18862",0.238842770959135,0.471344408462376,0.438041897690775,"SPIRE2/WNT3A/ARPC2/ASXL1/ROCK1",5
"GO:1902903","BP","GO:1902903","regulation of supramolecular fiber organization","4/127","370/18862",0.239081659845998,0.471344408462376,0.438041897690775,"LPAR1/SPIRE2/ARPC2/ROCK1",4
"GO:0045165","BP","GO:0045165","cell fate commitment","3/127","251/18862",0.239297930450129,0.471344408462376,0.438041897690775,"WNT3A/PAX6/TM2D3",3
"GO:0034248","BP","GO:0034248","regulation of cellular amide metabolic process","5/127","494/18862",0.240089943434763,0.47236934662796,0.438994419564393,"CIRBP/SLC2A13/AKT2/ROCK1/TIA1",5
"GO:0006040","BP","GO:0006040","amino sugar metabolic process","1/127","41/18862",0.24216254842019,0.47236934662796,0.438994419564393,"OGA",1
"GO:0009268","BP","GO:0009268","response to pH","1/127","41/18862",0.24216254842019,0.47236934662796,0.438994419564393,"SLC38A3",1
"GO:0010907","BP","GO:0010907","positive regulation of glucose metabolic process","1/127","41/18862",0.24216254842019,0.47236934662796,0.438994419564393,"AKT2",1
"GO:0060119","BP","GO:0060119","inner ear receptor cell development","1/127","41/18862",0.24216254842019,0.47236934662796,0.438994419564393,"FAT4",1
"GO:0070317","BP","GO:0070317","negative regulation of G0 to G1 transition","1/127","41/18862",0.24216254842019,0.47236934662796,0.438994419564393,"SUZ12",1
"GO:1900026","BP","GO:1900026","positive regulation of substrate adhesion-dependent cell spreading","1/127","41/18862",0.24216254842019,0.47236934662796,0.438994419564393,"ARPC2",1
"GO:1902100","BP","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","1/127","41/18862",0.24216254842019,0.47236934662796,0.438994419564393,"ATM",1
"GO:1905314","BP","GO:1905314","semi-lunar valve development","1/127","41/18862",0.24216254842019,0.47236934662796,0.438994419564393,"ROCK1",1
"GO:2000781","BP","GO:2000781","positive regulation of double-strand break repair","1/127","41/18862",0.24216254842019,0.47236934662796,0.438994419564393,"SPIRE2",1
"GO:0031023","BP","GO:0031023","microtubule organizing center organization","2/127","140/18862",0.242987309453464,0.473062249805535,0.439638366150737,"PDCD6IP/CDK1",2
"GO:0035148","BP","GO:0035148","tube formation","2/127","140/18862",0.242987309453464,0.473062249805535,0.439638366150737,"DEAF1/CEP290",2
"GO:0050678","BP","GO:0050678","regulation of epithelial cell proliferation","4/127","374/18862",0.244901778595068,0.476329231533844,0.442674521561295,"WNT3A/DEAF1/SUZ12/INTU",4
"GO:0006509","BP","GO:0006509","membrane protein ectodomain proteolysis","1/127","42/18862",0.247276270132673,0.477719735682968,0.443966780608593,"ROCK1",1
"GO:0014002","BP","GO:0014002","astrocyte development","1/127","42/18862",0.247276270132673,0.477719735682968,0.443966780608593,"TSPAN2",1
"GO:0033046","BP","GO:0033046","negative regulation of sister chromatid segregation","1/127","42/18862",0.247276270132673,0.477719735682968,0.443966780608593,"ATM",1
"GO:0033048","BP","GO:0033048","negative regulation of mitotic sister chromatid segregation","1/127","42/18862",0.247276270132673,0.477719735682968,0.443966780608593,"ATM",1
"GO:0045616","BP","GO:0045616","regulation of keratinocyte differentiation","1/127","42/18862",0.247276270132673,0.477719735682968,0.443966780608593,"ROCK1",1
"GO:1902116","BP","GO:1902116","negative regulation of organelle assembly","1/127","42/18862",0.247276270132673,0.477719735682968,0.443966780608593,"SCFD1",1
"GO:2000816","BP","GO:2000816","negative regulation of mitotic sister chromatid separation","1/127","42/18862",0.247276270132673,0.477719735682968,0.443966780608593,"ATM",1
"GO:0044344","BP","GO:0044344","cellular response to fibroblast growth factor stimulus","2/127","142/18862",0.24796879724698,0.478140790863794,0.444358086428988,"TIA1/FAT4",2
"GO:0097549","BP","GO:0097549","chromatin organization involved in negative regulation of transcription","2/127","142/18862",0.24796879724698,0.478140790863794,0.444358086428988,"CDKN2B-AS1/MORF4L2",2
"GO:0007189","BP","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","2/127","143/18862",0.250460977330238,0.479714006824531,0.445820147912154,"LPAR1/PTGFR",2
"GO:0010324","BP","GO:0010324","membrane invagination","2/127","143/18862",0.250460977330238,0.479714006824531,0.445820147912154,"SPIRE2/FNBP1L",2
"GO:0048592","BP","GO:0048592","eye morphogenesis","2/127","143/18862",0.250460977330238,0.479714006824531,0.445820147912154,"PAX6/CEP290",2
"GO:0000413","BP","GO:0000413","protein peptidyl-prolyl isomerization","1/127","43/18862",0.252355755451118,0.479714006824531,0.445820147912154,"NKTR",1
"GO:0001754","BP","GO:0001754","eye photoreceptor cell differentiation","1/127","43/18862",0.252355755451118,0.479714006824531,0.445820147912154,"CEP290",1
"GO:0006458","BP","GO:0006458","'de novo' protein folding","1/127","43/18862",0.252355755451118,0.479714006824531,0.445820147912154,"DNAJB14",1
"GO:0014003","BP","GO:0014003","oligodendrocyte development","1/127","43/18862",0.252355755451118,0.479714006824531,0.445820147912154,"LPAR1",1
"GO:0021517","BP","GO:0021517","ventral spinal cord development","1/127","43/18862",0.252355755451118,0.479714006824531,0.445820147912154,"PAX6",1
"GO:0021762","BP","GO:0021762","substantia nigra development","1/127","43/18862",0.252355755451118,0.479714006824531,0.445820147912154,"CKB",1
"GO:0022602","BP","GO:0022602","ovulation cycle process","1/127","43/18862",0.252355755451118,0.479714006824531,0.445820147912154,"PLEKHA1",1
"GO:0030517","BP","GO:0030517","negative regulation of axon extension","1/127","43/18862",0.252355755451118,0.479714006824531,0.445820147912154,"WNT3A",1
"GO:0042220","BP","GO:0042220","response to cocaine","1/127","43/18862",0.252355755451118,0.479714006824531,0.445820147912154,"EN1",1
"GO:0046189","BP","GO:0046189","phenol-containing compound biosynthetic process","1/127","43/18862",0.252355755451118,0.479714006824531,0.445820147912154,"MFSD12",1
"GO:0048599","BP","GO:0048599","oocyte development","1/127","43/18862",0.252355755451118,0.479714006824531,0.445820147912154,"ATM",1
"GO:0070266","BP","GO:0070266","necroptotic process","1/127","43/18862",0.252355755451118,0.479714006824531,0.445820147912154,"TRPM7",1
"GO:0010675","BP","GO:0010675","regulation of cellular carbohydrate metabolic process","2/127","144/18862",0.252953948731193,0.47994558069054,0.446035360088009,"ERFE/AKT2",2
"GO:0035051","BP","GO:0035051","cardiocyte differentiation","2/127","144/18862",0.252953948731193,0.47994558069054,0.446035360088009,"WNT3A/NEBL",2
"GO:0048284","BP","GO:0048284","organelle fusion","2/127","145/18862",0.255447588855148,0.483376963689955,0.44922430111241,"AKT2/CDK1",2
"GO:0007281","BP","GO:0007281","germ cell development","3/127","261/18862",0.257294722760893,0.483376963689955,0.44922430111241,"DEAF1/ATM/CFAP44",3
"GO:0010677","BP","GO:0010677","negative regulation of cellular carbohydrate metabolic process","1/127","44/18862",0.257401231781301,0.483376963689955,0.44922430111241,"ERFE",1
"GO:0010761","BP","GO:0010761","fibroblast migration","1/127","44/18862",0.257401231781301,0.483376963689955,0.44922430111241,"ZFAND5",1
"GO:0010824","BP","GO:0010824","regulation of centrosome duplication","1/127","44/18862",0.257401231781301,0.483376963689955,0.44922430111241,"PDCD6IP",1
"GO:0010863","BP","GO:0010863","positive regulation of phospholipase C activity","1/127","44/18862",0.257401231781301,0.483376963689955,0.44922430111241,"LPAR1",1
"GO:0015804","BP","GO:0015804","neutral amino acid transport","1/127","44/18862",0.257401231781301,0.483376963689955,0.44922430111241,"SLC38A3",1
"GO:0045910","BP","GO:0045910","negative regulation of DNA recombination","1/127","44/18862",0.257401231781301,0.483376963689955,0.44922430111241,"RADX",1
"GO:0051985","BP","GO:0051985","negative regulation of chromosome segregation","1/127","44/18862",0.257401231781301,0.483376963689955,0.44922430111241,"ATM",1
"GO:0150076","BP","GO:0150076","neuroinflammatory response","1/127","44/18862",0.257401231781301,0.483376963689955,0.44922430111241,"ATM",1
"GO:1905819","BP","GO:1905819","negative regulation of chromosome separation","1/127","44/18862",0.257401231781301,0.483376963689955,0.44922430111241,"ATM",1
"GO:0016525","BP","GO:0016525","negative regulation of angiogenesis","2/127","146/18862",0.257941776696772,0.483941042871505,0.449748525672408,"ISM1/ROCK1",2
"GO:0007548","BP","GO:0007548","sex differentiation","3/127","262/18862",0.259105266304855,0.485671731724914,0.451356933910734,"ATM/ATRX/PLEKHA1",3
"GO:0031331","BP","GO:0031331","positive regulation of cellular catabolic process","4/127","384/18862",0.25958879427956,0.485994525676926,0.451656921080972,"AKT2/ATM/WAC/ROCK1",4
"GO:0006418","BP","GO:0006418","tRNA aminoacylation for protein translation","1/127","45/18862",0.262412925030519,0.485994525676926,0.451656921080972,"GARS1",1
"GO:0014911","BP","GO:0014911","positive regulation of smooth muscle cell migration","1/127","45/18862",0.262412925030519,0.485994525676926,0.451656921080972,"LPAR1",1
"GO:0021545","BP","GO:0021545","cranial nerve development","1/127","45/18862",0.262412925030519,0.485994525676926,0.451656921080972,"LPAR1",1
"GO:0031018","BP","GO:0031018","endocrine pancreas development","1/127","45/18862",0.262412925030519,0.485994525676926,0.451656921080972,"PAX6",1
"GO:0031057","BP","GO:0031057","negative regulation of histone modification","1/127","45/18862",0.262412925030519,0.485994525676926,0.451656921080972,"TRIP12",1
"GO:0032007","BP","GO:0032007","negative regulation of TOR signaling","1/127","45/18862",0.262412925030519,0.485994525676926,0.451656921080972,"ATM",1
"GO:0032881","BP","GO:0032881","regulation of polysaccharide metabolic process","1/127","45/18862",0.262412925030519,0.485994525676926,0.451656921080972,"AKT2",1
"GO:0033047","BP","GO:0033047","regulation of mitotic sister chromatid segregation","1/127","45/18862",0.262412925030519,0.485994525676926,0.451656921080972,"ATM",1
"GO:0035307","BP","GO:0035307","positive regulation of protein dephosphorylation","1/127","45/18862",0.262412925030519,0.485994525676926,0.451656921080972,"ANKLE2",1
"GO:0045601","BP","GO:0045601","regulation of endothelial cell differentiation","1/127","45/18862",0.262412925030519,0.485994525676926,0.451656921080972,"ROCK1",1
"GO:0046839","BP","GO:0046839","phospholipid dephosphorylation","1/127","45/18862",0.262412925030519,0.485994525676926,0.451656921080972,"MTMR1",1
"GO:0061647","BP","GO:0061647","histone H3-K9 modification","1/127","45/18862",0.262412925030519,0.485994525676926,0.451656921080972,"ATRX",1
"GO:0071774","BP","GO:0071774","response to fibroblast growth factor","2/127","148/18862",0.262931319365371,0.486061108735066,0.451718799759531,"TIA1/FAT4",2
"GO:2000181","BP","GO:2000181","negative regulation of blood vessel morphogenesis","2/127","148/18862",0.262931319365371,0.486061108735066,0.451718799759531,"ISM1/ROCK1",2
"GO:1901343","BP","GO:1901343","negative regulation of vasculature development","2/127","149/18862",0.265426439989225,0.489088016791781,0.454531843736492,"ISM1/ROCK1",2
"GO:0005978","BP","GO:0005978","glycogen biosynthetic process","1/127","46/18862",0.267391059617388,0.489088016791781,0.454531843736492,"AKT2",1
"GO:0007140","BP","GO:0007140","male meiotic nuclear division","1/127","46/18862",0.267391059617388,0.489088016791781,0.454531843736492,"ATM",1
"GO:0009250","BP","GO:0009250","glucan biosynthetic process","1/127","46/18862",0.267391059617388,0.489088016791781,0.454531843736492,"AKT2",1
"GO:0010171","BP","GO:0010171","body morphogenesis","1/127","46/18862",0.267391059617388,0.489088016791781,0.454531843736492,"PLEKHA1",1
"GO:0042461","BP","GO:0042461","photoreceptor cell development","1/127","46/18862",0.267391059617388,0.489088016791781,0.454531843736492,"CEP290",1
"GO:0070316","BP","GO:0070316","regulation of G0 to G1 transition","1/127","46/18862",0.267391059617388,0.489088016791781,0.454531843736492,"SUZ12",1
"GO:0072583","BP","GO:0072583","clathrin-dependent endocytosis","1/127","46/18862",0.267391059617388,0.489088016791781,0.454531843736492,"FNBP1L",1
"GO:1900274","BP","GO:1900274","regulation of phospholipase C activity","1/127","46/18862",0.267391059617388,0.489088016791781,0.454531843736492,"LPAR1",1
"GO:0007030","BP","GO:0007030","Golgi organization","2/127","150/18862",0.267921639894074,0.489088016791781,0.454531843736492,"TRAPPC12/CDK1",2
"GO:0015908","BP","GO:0015908","fatty acid transport","2/127","150/18862",0.267921639894074,0.489088016791781,0.454531843736492,"ERFE/AKT2",2
"GO:0030048","BP","GO:0030048","actin filament-based movement","2/127","150/18862",0.267921639894074,0.489088016791781,0.454531843736492,"FNBP1L/TPM4",2
"GO:0008360","BP","GO:0008360","regulation of cell shape","2/127","151/18862",0.270416805790814,0.489088016791781,0.454531843736492,"LPAR1/PRPF40A",2
"GO:0051146","BP","GO:0051146","striated muscle cell differentiation","3/127","269/18862",0.271825572659355,0.489088016791781,0.454531843736492,"WNT3A/NEBL/MORF4L2",3
"GO:0000959","BP","GO:0000959","mitochondrial RNA metabolic process","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"GARS1",1
"GO:0001774","BP","GO:0001774","microglial cell activation","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"ATM",1
"GO:0006111","BP","GO:0006111","regulation of gluconeogenesis","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"ERFE",1
"GO:0007157","BP","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"FAT4",1
"GO:0007528","BP","GO:0007528","neuromuscular junction development","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"UTRN",1
"GO:0009409","BP","GO:0009409","response to cold","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"CIRBP",1
"GO:0009994","BP","GO:0009994","oocyte differentiation","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"ATM",1
"GO:0010569","BP","GO:0010569","regulation of double-strand break repair via homologous recombination","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"RADX",1
"GO:0030225","BP","GO:0030225","macrophage differentiation","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"TSPAN2",1
"GO:0032480","BP","GO:0032480","negative regulation of type I interferon production","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"PCBP2",1
"GO:0035722","BP","GO:0035722","interleukin-12-mediated signaling pathway","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"TCP1",1
"GO:0038202","BP","GO:0038202","TORC1 signaling","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"ATM",1
"GO:0045023","BP","GO:0045023","G0 to G1 transition","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"SUZ12",1
"GO:0045839","BP","GO:0045839","negative regulation of mitotic nuclear division","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"ATM",1
"GO:0051972","BP","GO:0051972","regulation of telomerase activity","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"TCP1",1
"GO:0090329","BP","GO:0090329","regulation of DNA-dependent DNA replication","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"ATRX",1
"GO:0099054","BP","GO:0099054","presynapse assembly","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"WNT3A",1
"GO:1903053","BP","GO:1903053","regulation of extracellular matrix organization","1/127","47/18862",0.272335858481578,0.489088016791781,0.454531843736492,"FSCN1",1
"GO:0046661","BP","GO:0046661","male sex differentiation","2/127","153/18862",0.27540658987906,0.494162313986025,0.459247619997983,"ATRX/PLEKHA1",2
"GO:0002067","BP","GO:0002067","glandular epithelial cell differentiation","1/127","48/18862",0.277247543093475,0.494383893215355,0.459453543701249,"PAX6",1
"GO:0042398","BP","GO:0042398","cellular modified amino acid biosynthetic process","1/127","48/18862",0.277247543093475,0.494383893215355,0.459453543701249,"CKB",1
"GO:0043039","BP","GO:0043039","tRNA aminoacylation","1/127","48/18862",0.277247543093475,0.494383893215355,0.459453543701249,"GARS1",1
"GO:0043616","BP","GO:0043616","keratinocyte proliferation","1/127","48/18862",0.277247543093475,0.494383893215355,0.459453543701249,"INTU",1
"GO:0044088","BP","GO:0044088","regulation of vacuole organization","1/127","48/18862",0.277247543093475,0.494383893215355,0.459453543701249,"SCFD1",1
"GO:0046605","BP","GO:0046605","regulation of centrosome cycle","1/127","48/18862",0.277247543093475,0.494383893215355,0.459453543701249,"PDCD6IP",1
"GO:0051293","BP","GO:0051293","establishment of spindle localization","1/127","48/18862",0.277247543093475,0.494383893215355,0.459453543701249,"SPIRE2",1
"GO:0000187","BP","GO:0000187","activation of MAPK activity","2/127","154/18862",0.277900988923702,0.494673580107119,0.459722762967514,"LPAR1/CDK1",2
"GO:1905039","BP","GO:1905039","carboxylic acid transmembrane transport","2/127","154/18862",0.277900988923702,0.494673580107119,0.459722762967514,"SLC38A3/AKT2",2
"GO:1903825","BP","GO:1903825","organic acid transmembrane transport","2/127","155/18862",0.280394915637369,0.498670668359244,0.463437439734149,"SLC38A3/AKT2",2
"GO:0001961","BP","GO:0001961","positive regulation of cytokine-mediated signaling pathway","1/127","49/18862",0.282126333463791,0.498670668359244,0.463437439734149,"AGPAT1",1
"GO:0021515","BP","GO:0021515","cell differentiation in spinal cord","1/127","49/18862",0.282126333463791,0.498670668359244,0.463437439734149,"WNT3A",1
"GO:0032369","BP","GO:0032369","negative regulation of lipid transport","1/127","49/18862",0.282126333463791,0.498670668359244,0.463437439734149,"AKT2",1
"GO:0043038","BP","GO:0043038","amino acid activation","1/127","49/18862",0.282126333463791,0.498670668359244,0.463437439734149,"GARS1",1
"GO:0071349","BP","GO:0071349","cellular response to interleukin-12","1/127","49/18862",0.282126333463791,0.498670668359244,0.463437439734149,"TCP1",1
"GO:0072132","BP","GO:0072132","mesenchyme morphogenesis","1/127","49/18862",0.282126333463791,0.498670668359244,0.463437439734149,"WNT3A",1
"GO:2000059","BP","GO:2000059","negative regulation of ubiquitin-dependent protein catabolic process","1/127","49/18862",0.282126333463791,0.498670668359244,0.463437439734149,"WAC",1
"GO:0021543","BP","GO:0021543","pallium development","2/127","156/18862",0.282888264074885,0.498705032467973,0.463469375870719,"WNT3A/FAT4",2
"GO:0030856","BP","GO:0030856","regulation of epithelial cell differentiation","2/127","156/18862",0.282888264074885,0.498705032467973,0.463469375870719,"ROCK1/FAT4",2
"GO:0032368","BP","GO:0032368","regulation of lipid transport","2/127","156/18862",0.282888264074885,0.498705032467973,0.463469375870719,"ERFE/AKT2",2
"GO:0001503","BP","GO:0001503","ossification","4/127","401/18862",0.284936406314541,0.499783477120579,0.464471623767799,"WNT3A/INTU/TPM4/FAT4",4
"GO:0030168","BP","GO:0030168","platelet activation","2/127","157/18862",0.285380929716589,0.499783477120579,0.464471623767799,"PRKCB/WNT3A",2
"GO:0002931","BP","GO:0002931","response to ischemia","1/127","50/18862",0.286972448153107,0.499783477120579,0.464471623767799,"ARID1B",1
"GO:0006220","BP","GO:0006220","pyrimidine nucleotide metabolic process","1/127","50/18862",0.286972448153107,0.499783477120579,0.464471623767799,"SMUG1",1
"GO:0009066","BP","GO:0009066","aspartate family amino acid metabolic process","1/127","50/18862",0.286972448153107,0.499783477120579,0.464471623767799,"AASDHPPT",1
"GO:0035176","BP","GO:0035176","social behavior","1/127","50/18862",0.286972448153107,0.499783477120579,0.464471623767799,"EN1",1
"GO:0045104","BP","GO:0045104","intermediate filament cytoskeleton organization","1/127","50/18862",0.286972448153107,0.499783477120579,0.464471623767799,"DST",1
"GO:0045912","BP","GO:0045912","negative regulation of carbohydrate metabolic process","1/127","50/18862",0.286972448153107,0.499783477120579,0.464471623767799,"ERFE",1
"GO:0048260","BP","GO:0048260","positive regulation of receptor-mediated endocytosis","1/127","50/18862",0.286972448153107,0.499783477120579,0.464471623767799,"WNT3A",1
"GO:0070671","BP","GO:0070671","response to interleukin-12","1/127","50/18862",0.286972448153107,0.499783477120579,0.464471623767799,"TCP1",1
"GO:0099172","BP","GO:0099172","presynapse organization","1/127","50/18862",0.286972448153107,0.499783477120579,0.464471623767799,"WNT3A",1
"GO:1901799","BP","GO:1901799","negative regulation of proteasomal protein catabolic process","1/127","50/18862",0.286972448153107,0.499783477120579,0.464471623767799,"WAC",1
"GO:1902001","BP","GO:1902001","fatty acid transmembrane transport","1/127","50/18862",0.286972448153107,0.499783477120579,0.464471623767799,"AKT2",1
"GO:2000179","BP","GO:2000179","positive regulation of neural precursor cell proliferation","1/127","50/18862",0.286972448153107,0.499783477120579,0.464471623767799,"WNT3A",1
"GO:0032868","BP","GO:0032868","response to insulin","3/127","278/18862",0.288279138540773,0.501625616718185,0.466183608275644,"PRKCB/ERFE/AKT2",3
"GO:0007093","BP","GO:0007093","mitotic cell cycle checkpoint","2/127","159/18862",0.290363801576867,0.503947510919368,0.468341450659818,"ATM/CDK1",2
"GO:0051100","BP","GO:0051100","negative regulation of binding","2/127","159/18862",0.290363801576867,0.503947510919368,0.468341450659818,"ROCK1/BTAF1",2
"GO:0051147","BP","GO:0051147","regulation of muscle cell differentiation","2/127","159/18862",0.290363801576867,0.503947510919368,0.468341450659818,"WNT3A/MORF4L2",2
"GO:0042733","BP","GO:0042733","embryonic digit morphogenesis","1/127","51/18862",0.291786104281352,0.504523043395743,0.468876319290075,"INTU",1
"GO:0045103","BP","GO:0045103","intermediate filament-based process","1/127","51/18862",0.291786104281352,0.504523043395743,0.468876319290075,"DST",1
"GO:0065002","BP","GO:0065002","intracellular protein transmembrane transport","1/127","51/18862",0.291786104281352,0.504523043395743,0.468876319290075,"AKT2",1
"GO:0097300","BP","GO:0097300","programmed necrotic cell death","1/127","51/18862",0.291786104281352,0.504523043395743,0.468876319290075,"TRPM7",1
"GO:0001822","BP","GO:0001822","kidney development","3/127","280/18862",0.291947329329745,0.504523043395743,0.468876319290075,"ASXL1/FAT4/CEP290",3
"GO:0016241","BP","GO:0016241","regulation of macroautophagy","2/127","160/18862",0.292853805757167,0.5047907772461,0.469125136591779,"SCFD1/WAC",2
"GO:0043467","BP","GO:0043467","regulation of generation of precursor metabolites and energy","2/127","160/18862",0.292853805757167,0.5047907772461,0.469125136591779,"AKT2/CDK1",2
"GO:0050680","BP","GO:0050680","negative regulation of epithelial cell proliferation","2/127","160/18862",0.292853805757167,0.5047907772461,0.469125136591779,"SUZ12/INTU",2
"GO:2000058","BP","GO:2000058","regulation of ubiquitin-dependent protein catabolic process","2/127","161/18862",0.295342723037459,0.508149275372035,0.472246342372653,"WAC/XPO1",2
"GO:0000387","BP","GO:0000387","spliceosomal snRNP assembly","1/127","52/18862",0.296567517537227,0.508149275372035,0.472246342372653,"DDX20",1
"GO:0001658","BP","GO:0001658","branching involved in ureteric bud morphogenesis","1/127","52/18862",0.296567517537227,0.508149275372035,0.472246342372653,"FAT4",1
"GO:0006301","BP","GO:0006301","postreplication repair","1/127","52/18862",0.296567517537227,0.508149275372035,0.472246342372653,"WDR33",1
"GO:0051496","BP","GO:0051496","positive regulation of stress fiber assembly","1/127","52/18862",0.296567517537227,0.508149275372035,0.472246342372653,"LPAR1",1
"GO:0051703","BP","GO:0051703","biological process involved in intraspecies interaction between organisms","1/127","52/18862",0.296567517537227,0.508149275372035,0.472246342372653,"EN1",1
"GO:0061014","BP","GO:0061014","positive regulation of mRNA catabolic process","1/127","52/18862",0.296567517537227,0.508149275372035,0.472246342372653,"ROCK1",1
"GO:0006816","BP","GO:0006816","calcium ion transport","4/127","409/18862",0.296997054723119,0.508452901671271,0.472528516167267,"TRPM7/PRKCB/WNT3A/CACHD1",4
"GO:0034250","BP","GO:0034250","positive regulation of cellular amide metabolic process","2/127","163/18862",0.300316907834356,0.5119338599561,0.475763529769833,"CIRBP/SLC2A13",2
"GO:0051170","BP","GO:0051170","import into nucleus","2/127","163/18862",0.300316907834356,0.5119338599561,0.475763529769833,"DDX20/KPNA1",2
"GO:0001541","BP","GO:0001541","ovarian follicle development","1/127","53/18862",0.301316902187561,0.5119338599561,0.475763529769833,"ATM",1
"GO:0002090","BP","GO:0002090","regulation of receptor internalization","1/127","53/18862",0.301316902187561,0.5119338599561,0.475763529769833,"WNT3A",1
"GO:0003179","BP","GO:0003179","heart valve morphogenesis","1/127","53/18862",0.301316902187561,0.5119338599561,0.475763529769833,"ROCK1",1
"GO:0006336","BP","GO:0006336","DNA replication-independent nucleosome assembly","1/127","53/18862",0.301316902187561,0.5119338599561,0.475763529769833,"ATRX",1
"GO:0010332","BP","GO:0010332","response to gamma radiation","1/127","53/18862",0.301316902187561,0.5119338599561,0.475763529769833,"ATM",1
"GO:0048747","BP","GO:0048747","muscle fiber development","1/127","53/18862",0.301316902187561,0.5119338599561,0.475763529769833,"NEBL",1
"GO:0051653","BP","GO:0051653","spindle localization","1/127","53/18862",0.301316902187561,0.5119338599561,0.475763529769833,"SPIRE2",1
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","2/127","164/18862",0.302801984162143,0.513590907480402,0.47730349975585,"ATM/ATRX",2
"GO:1990138","BP","GO:1990138","neuron projection extension","2/127","164/18862",0.302801984162143,0.513590907480402,0.47730349975585,"WNT3A/USP9X",2
"GO:0060828","BP","GO:0060828","regulation of canonical Wnt signaling pathway","3/127","287/18862",0.304810876004252,0.514311475595926,0.477973156633225,"EMD/WNT3A/KPNA1",3
